hgvsg	cadd_consscore	cadd_rawscore	dbnsfp_bayesdel_add_af_rankscore	dbnsfp_bayesdel_no_af_rankscore	dbnsfp_bstatistic_converted_rankscore	dbnsfp_clinpred_rankscore	dbnsfp_dann_rankscore	dbnsfp_deogen2_rankscore	dbnsfp_eigen_raw_coding_rankscore	dbnsfp_eigen_pc_raw_coding_rankscore	dbnsfp_fathmm_converted_rankscore	dbnsfp_fathmm_mkl_coding_rankscore	dbnsfp_fathmm_xf_coding_rankscore	dbnsfp_genocanyon_rankscore	dbnsfp_gerp___rs_rankscore	dbnsfp_gm12878_fitcons_rankscore	dbnsfp_h1_hesc_fitcons_rankscore	dbnsfp_huvec_fitcons_rankscore	dbnsfp_integrated_fitcons_rankscore	dbnsfp_list_s2_rankscore	dbnsfp_lrt_converted_rankscore	dbnsfp_metalr_rankscore	dbnsfp_metarnn_rankscore	dbnsfp_metasvm_rankscore	dbnsfp_mpc_rankscore	dbnsfp_mutationassessor_rankscore	dbnsfp_mutationtaster_converted_rankscore	dbnsfp_phastcons_100way_vertebrate_rankscore	dbnsfp_phastcons_17way_primate_rankscore	dbnsfp_phastcons_30way_mammalian_rankscore	dbnsfp_phylop_100way_vertebrate_rankscore	dbnsfp_phylop_17way_primate_rankscore	dbnsfp_phylop_30way_mammalian_rankscore	dbnsfp_polyphen2_hdiv_rankscore	dbnsfp_polyphen2_hvar_rankscore	dbnsfp_primateai_rankscore	dbnsfp_provean_converted_rankscore	dbnsfp_revel_rankscore	dbnsfp_sift_converted_rankscore	dbnsfp_sift4g_converted_rankscore	dbnsfp_siphy_29way_logodds_rankscore	dbnsfp_siphy_29way_logodds_score	dbnsfp_vest4_rankscore	evs_grantham_score	mutdb_mutpred_score	gnomad_exome_af	gnomad_genome_af	civic_actionscore	civic_clinvar_cnt	exac_nontcga_af	exac_af	clinvar_accession	clinvar_sig	clinvar_origin	clinvar_name	clinvar_accession_0	clinvar_sig_0	clivar_origin_0	clinvar_name_0	clinvar_accession_1	clinvar_sig_1	clivar_origin_1	clinvar_name_1	clinvar_accession_2	clinvar_sig_2	clivar_origin_2	clinvar_name_2	clinvar_accession_3	clinvar_sig_3	clivar_origin_3	clinvar_name_3	dbnsfp_clinvar_sig
chr13:g.32890666T>C			0.78381	0.78099	0.32732		0.52496		0.94143	0.88062		0.44656		0.74766	0.68917	0.02586	0.02919	0.02709	0.02108								0.81001	0.71638	0.39076	0.49151	0.59158	0.47794	0.64695								0.55487	12.5355				3.99071e-06										RCV000045024	Pathogenic	germline	Hereditary breast ovarian cancer syndrome	RCV000113081	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000985570	Pathogenic	germline	not provided					Pathogenic
chr13:g.32893212A>G		4.061039	0.79028	0.78755	0.3561		0.63453		0.97073	0.9496		0.76733		0.74766	0.88346	0.03286	0.03266	0.02979	0.02776								0.81001	0.71638	0.36073	0.33327	0.73964	0.87719	0.88494								0.82291	16.2484				4.03809e-06				9.421e-06	8.241e-06					RCV000167275	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000702378	Conflicting interpretations of pathogenicity	germline	Hereditary breast ovarian cancer syndrome	RCV000988980	Likely pathogenic	unknown	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)					Likely_pathogenic
chr13:g.32893214A>G		5.521242	0.49742	0.49076	0.3561	0.52747	0.92925		0.80676	0.81839	0.01551	0.76876	0.63459	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.37789	0.09923	0.61785	0.04583	0.12507		0.45775	0.71638	0.4209	0.46756	0.73964	0.87719	0.88494			0.42871	0.40274	0.48268	0.91255	0.92824	0.82291	16.2484	0.55366			4.00391e-06				9.42e-06	8.24e-06					RCV000772644	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001856024	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome									Uncertain_significance
chr13:g.32893231C>G	7	5.571477	0.14179	0.31791	0.3561	0.57482	0.81283		0.70369	0.70852	0.01332	0.6512	0.45406	0.74766	0.62125	0.49859	0.6058	0.67416	0.46895		0.43413	0.06138	0.46228	0.22998	0.12377		0.35227	0.71638	0.57723	0.70432	0.56707	0.33519	0.39869			0.37451	0.21215	0.31079	0.91255	0.92824	0.83004	16.3484	0.3782			3.9894e-06										RCV000575119	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001338520	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome									Uncertain_significance
chr13:g.32893234A>C	7	4.506682	0.20791	0.1977	0.3561	0.62456	0.74338		0.60723	0.5944	0.01185	0.57605	0.40861	0.51787	0.54589	0.49859	0.6058	0.67416	0.46895		0.44736	0.04985	0.52158	0.04625	0.16512		0.28242	0.71638	0.64315	0.70432	0.48363	0.17177	0.28223			0.45425	0.31375	0.25287	0.50132	0.72224	0.36295	9.1797	0.41853				3.18817e-05									RCV000574736	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001338114	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV001821685	Uncertain significance	germline	not specified					Uncertain_significance
chr13:g.32893238G>A		11.213124	0.95796	0.98317	0.3561		0.58184		0.94773	0.93924		0.71831	0.13377	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.62929						0.81001	0.71638	0.85391	0.86279	0.7638	0.70159	0.72986								0.98202	20.181	0.69125			3.98676e-06				9.416e-06	8.237e-06					RCV000045785	Pathogenic	germline	Hereditary breast ovarian cancer syndrome	RCV000241373	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000762913	Pathogenic	unknown	Familial cancer of breast	RCV001179124	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	Pathogenic
chr13:g.32893238G>T		6.243784	0.43382	0.59201	0.3561	0.75096	0.46222		0.88241	0.91607	0.0782	0.74509	0.59525	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.62929	0.30951	0.71199	0.00356	0.07932		0.51308	0.71638	0.85391	0.86279	0.7638	0.70159	0.72986			0.61878	0.65627	0.67234	0.91255	0.92824	0.98202	20.181	0.62781			3.98676e-06				9.416e-06	8.237e-06					RCV000240757	Uncertain significance	germline	Breast neoplasm	RCV000573741	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000677825	Uncertain significance	germline	Cancer of the pancreas	RCV003150100	Uncertain significance	germline	Breast and/or ovarian cancer	Uncertain_significance
chr13:g.32893246G>A	7	6.743633	0.44373	0.43627	0.3561	0.656	0.99535		0.88241	0.91621	0.03326	0.71831	0.59528	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.62929	0.19559	0.52547	0.00011	0.07654		0.48205	0.71638	0.85391	0.86279	0.7638	0.70159	0.72986			0.54742	0.26639	0.5262	0.91255	0.92824	0.98202	20.181	0.44952			3.98359e-06																										
chr13:g.32893253C>A	7	3.964808	0.36644	0.35779	0.3561	0.63909	0.61326		0.69127	0.68067	0.00921	0.42921	0.32207	0.48965	0.43422	0.49859	0.6058	0.67416	0.46895		0.28523	0.04558	0.54287	0.15303	0.023		0.31973	0.42656	0.79791	0.86279	0.44219	0.33519	0.39869			0.41345	0.33998	0.28911	0.91255	0.70582	0.82591	16.2943	0.46835				3.19163e-05					RCV000696046	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome																	Uncertain_significance
chr13:g.32893262C>T		6.026174	0.42983	0.42217	0.3561	0.59287	0.97502		0.789	0.79042	0.03121	0.5956	0.44876	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.62929	0.19559	0.56154	0.00011	0.09195		0.45492	0.41325	0.33629	0.33476	0.56815	0.33519	0.39869			0.2684	0.26639	0.54781	0.91255	0.92824	0.98202	20.181	0.45237			3.98026e-06				9.415e-06	8.237e-06					RCV000077656	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000130510	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000160132	Conflicting interpretations of pathogenicity	germline	not provided	RCV000545014	Likely benign	germline	Hereditary breast ovarian cancer syndrome	Conflicting_interpretations_of_pathogenicity
chr13:g.32893265C>T		2.358259	0.16478	0.15446	0.3561	0.21628	0.32328		0.26205	0.26045	0.01016	0.26679	0.08706	0.74766	0.6188	0.49859	0.6058	0.67416	0.46895		0.31496	0.01797	0.24738	0.3933	0.01977		0.33951	0.26039	0.1809	0.18435	0.43014	0.33519	0.39869			0.13277	0.47008	0.14661	0.29554	0.26145	0.38889	9.6217	0.27435			3.9801e-06				9.415e-06	8.237e-06																					
chr13:g.32893267C>G		2.002926	0.07846	0.21763	0.3561	0.20392	0.21262		0.52766	0.44489	0.011	0.32657	0.28051	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.49741	0.05561	0.46362	0.02489	0.0409		0.25989	0.24076	0.16954	0.14766	0.48908	0.33519	0.39869			0.16953	0.38924	0.44019	0.63226	0.4511	0.98202	20.181	0.39153			7.96007e-06				1.883e-05	1.647e-05	RCV000536237	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome																	Uncertain_significance
chr13:g.32893267C>T	7	2.888237	0.21871	0.20854	0.3561	0.35335	0.46525		0.54009	0.45434	0.011	0.30329	0.3441	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.49741	0.06186	0.50735	0.01108	0.05209		0.26731	0.24076	0.16954	0.14766	0.48908	0.33519	0.39869			0.17021	0.39692	0.45933	0.68238	0.53788	0.98202	20.181	0.42149		0.242	3.98004e-06										RCV000043760	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV000113156	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000167471	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001091524	Uncertain significance	germline	not provided	Uncertain_significance
chr13:g.32893268C>T	7	0.364651	0.1362	0.12598	0.3561	0.14175	0.04255		0.10832	0.10608	0.01086	0.19214	0.07907	0.40745	0.13234	0.49859	0.6058	0.67416	0.46895		0.49741	0.01159	0.47582	0.45027	0.02017		0.31289	0.23295	0.16771	0.14891	0.31396	0.10397	0.18337			0.23361	0.43334	0.27398	0.31682	0.2188	0.45367	10.7439	0.72299			3.97988e-06										RCV000164148	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000464038	Likely benign	germline	Hereditary breast ovarian cancer syndrome	RCV000988983	Benign	unknown	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV001711442	Benign	germline	not provided	Conflicting_interpretations_of_pathogenicity
chr13:g.32893279G>T	8	10.378819	0.9535	0.9747	0.3561		0.77068		0.89492	0.80447		0.46267	0.12099	0.74766	0.6188	0.49859	0.6058	0.67416	0.46895		0.36353						0.81001	0.71638	0.34707	0.49585	0.46135	0.70159	0.72986								0.17209	5.7119	0.67132			3.97937e-06										RCV000577322	not provided	germline	Familial cancer of breast	RCV000661718	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)									Pathogenic
chr13:g.32893282C>T		1.164851	0.01926	0.17304	0.3561	0.01564	0.6718		0.17268	0.17193	0.00621	0.09138	0.03302	0.41316	0.20595	0.49859	0.6058	0.67416	0.46895		0.13862	0.00994	0.24157	0.43785	0.13058		0.08975	0.18695	0.34739	0.43214	0.19306	0.33519	0.39869			0.11931	0.37375	0.25827	0.33753	0.20293	0.14706	5.2244	0.37093		0.152	1.19374e-05	3.18674e-05			9.415e-06	8.237e-06					RCV000113176	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000164910	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000588395	Uncertain significance	germline	not provided	RCV001175345	Uncertain significance	germline	not specified	Conflicting_interpretations_of_pathogenicity
chr13:g.32893283C>T	7	2.309914	0.12298	0.18707	0.3561	0.1388	0.09223		0.13934	0.15234	0.00605	0.1194	0.05731	0.44867	0.33092	0.49859	0.6058	0.67416	0.46895		0.13862	0.00615	0.20166	0.36059	0.14936		0.08975	0.06391	0.34675	0.39908	0.13706	0.33519	0.39869			0.15542	0.44094	0.25016	0.09543	0.01155	0.22679	6.7519	0.39962			3.97896e-06										RCV000637767	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV002386032	Uncertain significance	germline	Hereditary cancer-predisposing syndrome									Uncertain_significance
chr13:g.32893291G>C	7	2.716093	0.08525	0.22179	0.3561	0.33896	0.43731		0.60471	0.61104	0.01114	0.64556	0.49558	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.34294	0.02638	0.40541	0.46325	0.0366		0.34539	0.71638	0.40722	0.44821	0.54846	0.70159	0.72986			0.21933	0.19509	0.32008	0.58626	0.55759	0.77762	15.7521	0.26717			3.97886e-06																										
chr13:g.32893291G>T	8	10.485952	0.9535	0.9747	0.3561		0.75898		0.94628	0.88361		0.47496	0.11378	0.74766	0.88346	0.49859	0.6058	0.67416	0.46895		0.34294						0.81001	0.71638	0.40722	0.44821	0.54846	0.70159	0.72986								0.77762	15.7521	0.72567			3.97886e-06										RCV000043811	Pathogenic	germline	not provided	RCV000077257	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000131868	Pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV000167820	Pathogenic	germline	Hereditary breast ovarian cancer syndrome	Pathogenic
chr13:g.32893293A>C		-0.569526	0.07231	0.13252	0.3561	0.0259	0.1739		0.0526	0.06858	0.00726	0.13462	0.08076	0.41986	0.08638	0.49859	0.6058	0.67416	0.46895		0.34294	0.00676	0.02414	0.43409	0.01909		0.27935	0.13787	0.40722	0.43699	0.08523	0.16628	0.275			0.2179	0.10308	0.222	0.09543	0.07196	0.06012	3.1229	0.2426			3.97861e-06				9.415e-06	8.237e-06					RCV001179125	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001216808	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome									Uncertain_significance
chr13:g.32893301A>G		-0.157452	0.15696	0.14667	0.3561	0.09702	0.11821		0.21135	0.23957	0.00621	0.25756	0.05245	0.42466	0.22158	0.49859	0.50148	0.67416	0.46895		0.1839	0.00467	0.27718	0.51198	0.0409		0.08975	0.31475	0.42233	0.35121	0.20348	0.87719	0.27783			0.25888	0.25332	0.17616	0.20078	0.16086	0.27586	7.664	0.35088			3.97836e-06				9.415e-06	8.237e-06	RCV000580561	Uncertain significance	germline	Hereditary cancer-predisposing syndrome																	Uncertain_significance
chr13:g.32893310A>G		-3.023847	0.01008	0.04471	0.3561	0.00621	0.03899		0.00634	0.0091	0.00623	0.03827	0.0107	0.51787	0.02543	0.49859	0.50148	0.67416	0.46895		0.0464	0.00408	0.01825	0.47097	0.01834		0.08975	0.06391	0.30341	0.26834	0.04031	0.01849	0.048			0.1547	0.20358	0.07369	0.0814	0.0361	0.23718	6.9496	0.10198		0.054	3.97833e-06				9.415e-06	8.237e-06					RCV000113209	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000129076	Likely benign	germline	Hereditary cancer-predisposing syndrome	RCV000212200	Uncertain significance	germline	not provided	RCV001371894	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	Uncertain_significance
chr13:g.32893313A>C		-2.607299	0.02852	0.08141	0.3561	0.01071	0.04643		0.0162	0.0247	0.00647	0.10553	0.09404	0.40981	0.10038	0.49859	0.50148	0.67416	0.46895		0.1249	0.00408	0.02908	0.45567	0.02023		0.08975	0.13787	0.29567	0.27214	0.10233	0.03297	0.04012			0.16362	0.17417	0.11576	0.00964	0.03447	0.0135	0.9832	0.28264		0.153	1.98908e-05				1.883e-05	2.471e-05					RCV000031332	Benign	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000043861	Likely benign	germline	not provided	RCV000162996	Benign/Likely benign	germline	Hereditary cancer-predisposing syndrome	RCV001084320	Likely benign	germline	Hereditary breast ovarian cancer syndrome	Benign
chr13:g.32893321C>A	7	2.3732	0.22152	0.40049	0.3561	0.15335	0.57222		0.18909	0.21414	0.00674	0.33853	0.14133	0.4222	0.23848	0.49859	0.6058	0.67416	0.46895		0.29573	0.00707	0.30019	0.48873	0.13508		0.20991	0.41325	0.32885	0.44821	0.27431	0.09761	0.18199			0.17848	0.37375	0.4843	0.28271	0.21947	0.10553	4.3421	0.29889			3.97839e-06						RCV000129316	Uncertain significance	germline	Hereditary cancer-predisposing syndrome																	Uncertain_significance
chr13:g.32893327C>G		-2.906309	0.12619	0.31333	0.3561	0.0135	0.05926		0.00904	0.01115	0.00652	0.07299	0.04869	0.51787	0.03119	0.49859	0.50148	0.67416	0.46895		0.06228	0.00615	0.01427	0.47203	0.02115		0.08975	0.06391	0.33688	0.41969	0.04125	0.00548	0.03465			0.07237	0.14588	0.6867	0.04162	0.04234	0.00906	0.7373	0.13198			1.19346e-05				9.415e-06	8.237e-06					RCV000509799	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001060671	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV002282193	Uncertain significance	germline	not specified					Uncertain_significance
chr13:g.32893337C>T	7	6.338862	0.58011	0.57475	0.3561	0.61981	0.98449		0.84977	0.87689	0.01516	0.72422	0.52862	0.74766	0.88346	0.49859	0.50148	0.67416	0.46895		0.62929	0.11353	0.54404	0.00105	0.14947		0.43782	0.71638	0.62547	0.70432	0.65354	0.33519	0.39869			0.62466	0.36787	0.50028	0.91255	0.92824	0.98202	20.181	0.52918		0.152	3.97801e-06										RCV000215512	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000588169	Uncertain significance	germline	not provided	RCV001306617	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome					Uncertain_significance
chr13:g.32893346G>C	7	3.938204	0.42541	0.50362	0.3561	0.33533	0.42434		0.56217	0.61302	0.00734	0.38445	0.23913	0.74766	0.84677	0.49859	0.50148	0.67416	0.46895		0.40136	0.01159	0.52134	0.5002	0.08892		0.24555	0.71638	0.59808	0.65909	0.36876	0.70159	0.72986			0.32524	0.36787	0.45763	0.46129	0.3731	0.3857	9.5672	0.51048			3.97801e-06										RCV000508284	Uncertain significance	germline	not specified	RCV000558572	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV000583446	Uncertain significance	germline	Hereditary cancer-predisposing syndrome					Uncertain_significance
chr13:g.32893361A>G		-0.90243	0.01313	0.21123	0.3561	0.00102	0.06917		0.08732	0.12841	0.00586	0.27168	0.06008	0.44174	0.29928	0.49859	0.50148	0.09195	0.46895		0.07165	0.00497	0.05467	0.3823	0.02307		0.08975	0.41325	0.2629	0.17843	0.39146	0.08445	0.26667			0.18149	0.19297	0.45247	0.08115	0.07342	0.2388	6.9806	0.19593			3.97795e-05	3.18431e-05			2.825e-05	2.471e-05					RCV000043952	Likely benign	germline	Hereditary breast ovarian cancer syndrome	RCV000113284	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000212202	Uncertain significance	germline	not provided	RCV000562408	Likely benign	germline	Hereditary cancer-predisposing syndrome	Conflicting_interpretations_of_pathogenicity
chr13:g.32893375A>G		5.383762	0.38357	0.64523	0.3561	0.6449	0.93102		0.82161	0.83872	0.02743	0.83459	0.55869	0.74766	0.84677	0.49859	0.6058	0.09195	0.10046		0.51296	0.14857	0.51899	0.00196	0.09155		0.39348	0.71638	0.56843	0.86279	0.72217	0.94297	0.94714			0.37661	0.31778	0.53208	0.91255	0.92824	0.80726	16.07	0.58031		0.28	1.19339e-05				9.415e-06	1.647e-05					RCV000031361	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000221509	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000416556	Uncertain significance	germline	not specified	RCV000508014	Uncertain significance	unknown	not provided	Uncertain_significance
