hgvsg	cadd_consscore	cadd_rawscore	dbnsfp_bayesdel_add_af_rankscore	dbnsfp_bayesdel_no_af_rankscore	dbnsfp_bstatistic_converted_rankscore	dbnsfp_clinpred_rankscore	dbnsfp_dann_rankscore	dbnsfp_deogen2_rankscore	dbnsfp_eigen_raw_coding_rankscore	dbnsfp_eigen_pc_raw_coding_rankscore	dbnsfp_fathmm_converted_rankscore	dbnsfp_fathmm_mkl_coding_rankscore	dbnsfp_fathmm_xf_coding_rankscore	dbnsfp_genocanyon_rankscore	dbnsfp_gerp___rs_rankscore	dbnsfp_gm12878_fitcons_rankscore	dbnsfp_h1_hesc_fitcons_rankscore	dbnsfp_huvec_fitcons_rankscore	dbnsfp_integrated_fitcons_rankscore	dbnsfp_list_s2_rankscore	dbnsfp_lrt_converted_rankscore	dbnsfp_metalr_rankscore	dbnsfp_metarnn_rankscore	dbnsfp_metasvm_rankscore	dbnsfp_mpc_rankscore	dbnsfp_mutationassessor_rankscore	dbnsfp_mutationtaster_converted_rankscore	dbnsfp_phastcons_100way_vertebrate_rankscore	dbnsfp_phastcons_17way_primate_rankscore	dbnsfp_phastcons_30way_mammalian_rankscore	dbnsfp_phylop_100way_vertebrate_rankscore	dbnsfp_phylop_17way_primate_rankscore	dbnsfp_phylop_30way_mammalian_rankscore	dbnsfp_polyphen2_hdiv_rankscore	dbnsfp_polyphen2_hvar_rankscore	dbnsfp_primateai_rankscore	dbnsfp_provean_converted_rankscore	dbnsfp_revel_rankscore	dbnsfp_sift_converted_rankscore	dbnsfp_sift4g_converted_rankscore	dbnsfp_siphy_29way_logodds_rankscore	dbnsfp_siphy_29way_logodds_score	dbnsfp_vest4_rankscore	evs_grantham_score	mutdb_mutpred_score	gnomad_exome_af	gnomad_genome_af	civic_actionscore	civic_clinvar_cnt	exac_nontcga_af	exac_af	clinvar_accession	clinvar_sig	clinvar_origin	clinvar_name	clinvar_accession_0	clinvar_sig_0	clivar_origin_0	clinvar_name_0	clinvar_accession_1	clinvar_sig_1	clivar_origin_1	clinvar_name_1	clinvar_accession_2	clinvar_sig_2	clivar_origin_2	clinvar_name_2	clinvar_accession_3	clinvar_sig_3	clivar_origin_3	clinvar_name_3	dbnsfp_clinvar_sig
chr11:g.108098421A>T	8	11.64874	0.98345	0.98317	0.94984		0.74932		0.92078	0.88989		0.95841	0.85302	0.74766	0.7443	0.81188	0.96076	0.95156	0.92422		0.48594						0.81001	0.71638	0.97212	0.86279	0.8933	0.94297	0.86526								0.75609	15.522	0.88577			3.97823e-06																										
chr11:g.108098424G>A			0.91296	0.91187	0.94984		0.59469		0.98931	0.98621		0.69802		0.74766	0.7443	0.05638	0.03266	0.03346	0.04601								0.81001	0.71638	0.97212	0.70432	0.90908	0.7674	0.70785								0.94121	19.2988					3.19061e-05									RCV000167987	Pathogenic/Likely pathogenic	germline	Ataxia-telangiectasia syndrome (AT)	RCV000777649	Likely pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV001564314	Likely pathogenic	germline	not provided					Pathogenic/Likely_pathogenic
chr11:g.108098424G>T			0.84297	0.88888	0.94984		0.59166		0.98931	0.98621		0.82831		0.74766	0.7443	0.05638	0.03266	0.03346	0.04601								0.81001	0.71638	0.97212	0.70432	0.90908	0.7674	0.70785								0.94121	19.2988				3.97845e-06						RCV001999908	Pathogenic	germline	Ataxia-telangiectasia syndrome (AT)																	
chr11:g.108098504A>G		2.324229	0.24445	0.42533	0.94984	0.35978	0.80798	0.51948	0.44744	0.48154	0.6061	0.90625	0.64017	0.74766	0.48138	0.81188	0.96076	0.95156	0.92422	0.42065	0.62929	0.58932	0.31279	0.58928	0.14363	0.73131	0.44396	0.71638	0.64315	0.86279	0.73596	0.94297	0.86526	0.25489	0.34106	0.18504	0.56466	0.38394	0.45393	0.43531	0.48172	11.2361	0.28146			3.98343e-06				1.883e-05	1.647e-05	RCV001047586	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)																	Uncertain_significance
chr11:g.108098508A>T	7	3.87693	0.45952	0.45229	0.94984	0.48684	0.75233	0.43018	0.5355	0.53461	0.59717	0.84485	0.49133	0.74766	0.48303	0.81188	0.96076	0.95156	0.92422	0.55989	0.62929	0.59879	0.37815	0.66286	0.32679	0.67893	0.3201	0.71638	0.66497	0.86279	0.52634	0.94297	0.86526	0.49086	0.51908	0.20974	0.47344	0.41473	0.39334	0.47097	0.42389	10.2236	0.43706			7.96565e-06	3.18573e-05									RCV000166031	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000236303	Uncertain significance	germline	not provided	RCV000525440	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV002307424	Uncertain significance	germline	not specified	Uncertain_significance
chr11:g.108098509G>A		0.244734	0.33228	0.32315	0.94984	0.01927	0.13513	0.20999	0.15409	0.21474	0.58755	0.51315	0.19	0.43459	0.2872	0.81188	0.96076	0.95156	0.92422	0.46506	0.24817	0.33941	0.01195	0.27603	0.11355	0.08236	0.24335	0.71638	0.66497	0.86279	0.37654	0.07312	0.21609	0.07471	0.11217	0.06819	0.11366	0.16972	0.05167	0.29056	0.26849	7.5307	0.17416			3.98298e-06	3.18735e-05			9.416e-06	8.237e-06					RCV000165389	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000235556	Uncertain significance	germline	not provided	RCV000467148	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV002465551	Uncertain significance	germline	not specified	Uncertain_significance
chr11:g.108098516A>C		1.93802	0.15387	0.39727	0.94984	0.15751	0.52648	0.29257	0.31507	0.34717	0.59851	0.5959	0.35716	0.43971	0.32333	0.81188	0.50148	0.95156	0.92422	0.37862	0.38326	0.47804	0.13554	0.44688	0.17475	0.23787	0.26726	0.71638	0.79791	0.86279	0.41926	0.94297	0.86526	0.09854	0.15521	0.15008	0.71882	0.17295	0.33418	0.58089	0.32986	8.6146	0.23125	78	-1.0	7.96476e-06				1.883e-05	1.647e-05					RCV000236878	Uncertain significance	germline	not provided	RCV000694073	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV002374394	Uncertain significance	germline	Hereditary cancer-predisposing syndrome					Uncertain_significance
chr11:g.108098521A>G	7	4.239445	0.39368	0.48934	0.94984	0.48751	0.7651	0.39919	0.54031	0.55555	0.571	0.85956	0.50951	0.50053	0.47821	0.81188	0.50148	0.95156	0.92422	0.63049	0.62929	0.50874	0.44817	0.48758	0.35346	0.59049	0.24132	0.71638	0.76049	0.86279	0.63957	0.94297	0.86526	0.55431	0.4934	0.21064	0.61435	0.46948	0.63226	0.66756	0.2842	7.8159	0.56576			3.98172e-06																										
chr11:g.108098545A>G		1.695749	0.24937	0.41643	0.94984	0.21817	0.31973	0.28061	0.47798	0.50825	0.59449	0.69383	0.47721	0.74766	0.7443	0.81188	0.6058	0.95156	0.92422	0.50622	0.62929	0.57094	0.27718	0.66484	0.21563	0.59049	0.32084	0.71638	0.3986	0.49585	0.6341	0.94297	0.86526	0.34593	0.36047	0.18312	0.6158	0.4053	0.41096	0.4912	0.75472	15.5059	0.53708			2.38806e-05	9.55231e-05			1.883e-05	2.471e-05					RCV000164338	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000231502	Uncertain significance	unknown	Ataxia-telangiectasia syndrome (AT)	RCV000416278	Uncertain significance	germline	not provided	RCV001535538	not provided	unknown	Ataxia-telangiectasia syndrome (AT)	Uncertain_significance
chr11:g.108098557C>G		3.393984	0.30327	0.51642	0.94984	0.36724	0.56246	0.40243	0.45039	0.37533	0.56937	0.53725	0.3212	0.40238	0.22094	0.81188	0.6058	0.95156	0.92422	0.57032	0.62929	0.65948	0.35314	0.73077	0.54115	0.76659	0.33264	0.38783	0.37436	0.52443	0.25682	0.11441	0.20387	0.90584	0.92359	0.37974	0.62343	0.33137	0.91255	0.92824	0.3414	8.8133	0.77132			1.19413e-05				1.883e-05	1.647e-05					RCV000166508	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000322013	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV001356497	Uncertain significance	unknown	Malignant tumor of breast					Uncertain_significance
chr11:g.108098560G>C	7	5.044213	0.48768	0.57741	0.94984	0.72902	0.65172	0.5637	0.78459	0.76285	0.46777	0.91964	0.63513	0.74766	0.51454	0.81188	0.6058	0.95156	0.92422	0.62218	0.8433	0.65978	0.58517	0.70164	0.56233	0.76081	0.51612	0.71638	0.4514	0.59523	0.74649	0.7674	0.70785	0.90584	0.75168	0.36619	0.9344	0.47612	0.72154	0.76473	0.69624	14.8112	0.96302			3.98076e-06						RCV002971065	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)																	
chr11:g.108098561A>G		5.188109	0.19434	0.53802	0.94984	0.39035	0.9275	0.56021	0.7159	0.70961	0.45636	0.94281	0.76216	0.74766	0.70008	0.81188	0.6058	0.95156	0.92422	0.60466	0.8433	0.61647	0.27306	0.66737	0.55645	0.76081	0.52396	0.71638	0.46353	0.57719	0.88184	0.94297	0.86526	0.68779	0.66279	0.30386	0.93475	0.58381	0.63226	0.65728	0.73224	15.2492	0.95608	94	-1.0	2.78662e-05	0.000127397			5.65e-05	4.942e-05					RCV000166071	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000197254	Uncertain significance	unknown	Ataxia-telangiectasia syndrome (AT)	RCV000590355	Uncertain significance	germline	not provided	RCV001255212	Uncertain significance	germline	not specified	Uncertain_significance
chr11:g.108098564G>A		2.204347	0.07469	0.21125	0.94984	0.16014	0.59279	0.2603	0.22716	0.26684	0.31731	0.52239	0.25546	0.46732	0.35406	0.81188	0.50148	0.95156	0.92422	0.51656	0.26831	0.19518	0.04756	0.19109	0.16959	0.19153	0.30674	0.35152	0.46718	0.49585	0.33603	0.7674	0.70785	0.15914	0.18783	0.00761	0.39119	0.03691	0.14694	0.31225	0.31647	8.3834	0.16586			7.96445e-06				9.416e-06	8.237e-06					RCV000168047	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV000217445	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000235357	Uncertain significance	germline	not provided					Uncertain_significance
chr11:g.108098570C>G		9.392756	0.95797	0.97827	0.94984		0.51882		0.93105	0.85752		0.84326	0.04588	0.74766	0.49319	0.81188	0.6058	0.95156	0.92422		0.62929						0.81001	0.71638	0.66497	0.86279	0.64543	0.4025	0.3763								0.63825	13.9818	0.97535			3.98153e-06				9.416e-06	8.237e-06					RCV000196694	Pathogenic	germline	Ataxia-telangiectasia syndrome (AT)	RCV002390530	Pathogenic	germline	Hereditary cancer-predisposing syndrome									Pathogenic
chr11:g.108098576C>T	7	5.586698	0.38893	0.38063	0.94984	0.67884	0.88106	0.37687	0.46759	0.4334	0.35405	0.29447	0.28091	0.74766	0.49153	0.81188	0.6058	0.95156	0.92422	0.57326	0.17557	0.4836	0.29833	0.42009	0.47229	0.64929	0.23082	0.293	0.79791	0.86279	0.40396	0.4025	0.3763	0.45457	0.53406	0.29048	0.76822	0.16647	0.72154	0.7415	0.58632	13.1007	0.52475				3.18695e-05									RCV000122819	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV000485863	Uncertain significance	germline	not provided	RCV000574147	Uncertain significance	germline	Hereditary cancer-predisposing syndrome					Uncertain_significance
chr11:g.108098579A>G	7	1.640929	0.1245	0.28699	0.94984	0.19143	0.44967	0.26645	0.24802	0.32406	0.59449	0.44712	0.22436	0.4628	0.43287	0.81188	0.6058	0.67416	0.61202	0.42343	0.62929	0.26208	0.2594	0.12987	0.12176	0.13142	0.27452	0.42656	0.85391	0.86279	0.42977	0.94297	0.86526	0.14655	0.16012	0.34479	0.18248	0.3358	0.12511	0.11227	0.2626	7.4241	0.19861			7.96508e-06										RCV000701116	Uncertain significance	unknown	Ataxia-telangiectasia syndrome (AT)	RCV000772347	Uncertain significance	germline	Hereditary cancer-predisposing syndrome									Uncertain_significance
chr11:g.108098605G>T		4.228502	0.12046	0.40064	0.94984	0.34875	0.76387	0.30187	0.60196	0.62634	0.58755	0.64513	0.44691	0.74766	0.70008	0.81188	0.50148	0.67416	0.61202	0.6628	0.45194	0.59941	0.32683	0.64159	0.45017	0.64187	0.3275	0.71638	0.97212	0.86279	0.49825	0.7674	0.70785	0.56013	0.54683	0.4049	0.34795	0.31079	0.47745	0.92824	0.39368	9.7036	0.37509			1.19663e-05				1.883e-05	1.647e-05					RCV000214079	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000557155	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV001194331	Uncertain significance	germline	not specified					Uncertain_significance
chr11:g.108099904G>A			0.93194	0.9311	0.94984		0.62247		0.99984	0.99986		0.95621		0.74766	0.98675	0.03871	0.03266	0.03346	0.03195								0.81001	0.71638	0.678	0.56301	0.96525	0.7674	0.70785								0.99629	20.6593					3.18939e-05									RCV000573660	Likely pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV000810797	Likely pathogenic	germline	Ataxia-telangiectasia syndrome (AT)									Likely_pathogenic
chr11:g.108099912C>G		2.715859	0.36761	0.54394	0.94984	0.27632	0.46836	0.43658	0.55819	0.64788	0.59717	0.78823	0.58595	0.74766	0.98675	0.61773	0.6058	0.67416	0.20391	0.51562	0.62929	0.51674	0.3704	0.51398	0.31533	0.48678	0.48338	0.71638	0.91618	0.86279	0.59762	0.4025	0.3763	0.43524	0.47189	0.49544	0.49187	0.33137	0.58626	0.4553	0.85969	16.8961	0.72477			8.09487e-06				1.884e-05	1.648e-05					RCV000561045	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000627894	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)									Uncertain_significance
chr11:g.108099913A>G		3.457928	0.62616	0.62148	0.94984	0.41967	0.40729	0.31379	0.5691	0.64447	0.59717	0.87362	0.68491	0.74766	0.98675	0.61773	0.6058	0.67416	0.20391	0.57103	0.62929	0.57507	0.44317	0.51133	0.46581	0.56016	0.4977	0.71638	0.85391	0.86279	0.75598	0.94297	0.86526	0.48692	0.5299	0.55085	0.51157	0.40148	0.263	0.64786	0.84955	16.6406	0.76296			4.04142e-06					8.239e-06					RCV000567749	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000707181	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)									Uncertain_significance
chr11:g.108099919A>G		5.393729	0.67907	0.72922	0.94984	0.73272	0.84002	0.41938	0.78559	0.81417	0.58755	0.6578	0.50735	0.74766	0.98675	0.61773	0.6058	0.67416	0.20391	0.74042	0.62929	0.7217	0.62398	0.75263	0.57498	0.74286	0.39813	0.41325	0.85391	0.57719	0.54375	0.94297	0.86526	0.77913	0.71005	0.57226	0.95665	0.57221	0.68238	0.79402	0.61677	13.633	0.84922			4.0222e-06				9.417e-06	8.238e-06					RCV000213607	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000501575	Uncertain significance	germline	not specified	RCV000556463	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV001250443	Uncertain significance	germline	Familial cancer of breast	Uncertain_significance
chr11:g.108099921A>G		1.103133	0.0924	0.24471	0.94984	0.05889	0.30759	0.20855	0.31337	0.38286	0.58323	0.40206	0.14953	0.48965	0.65153	0.61773	0.6058	0.67416	0.20391	0.39623	0.4144	0.37819	0.12737	0.20649	0.12103	0.20218	0.26456	0.37257	0.91618	0.62031	0.45137	0.94297	0.27423	0.07471	0.087	0.22104	0.13035	0.17295	0.15098	0.23776	0.14885	5.2603	0.25006		-1.0	2.81276e-05	3.18573e-05			9.417e-06	1.648e-05					RCV000115148	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000199503	Uncertain significance	unknown	Ataxia-telangiectasia syndrome (AT)	RCV000515328	Uncertain significance	unknown	Familial cancer of breast	RCV000587881	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	Conflicting_interpretations_of_pathogenicity
chr11:g.108099929A>T	7	4.798328	0.4437	0.43622	0.94984	0.70811	0.88906	0.35183	0.59772	0.54236	0.59037	0.544	0.39641	0.39301	0.12964	0.61773	0.6058	0.67416	0.20391	0.64303	0.8433	0.70026	0.42106	0.73498	0.5681	0.75187	0.38267	0.71638	0.97212	0.65909	0.36608	0.94297	0.27446	0.90584	0.78936	0.65361	0.75935	0.50185	0.68238	0.76473	0.52471	11.9917	0.81261				3.18532e-05									RCV000480401	Uncertain significance	germline	not specified	RCV000551041	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV002418494	Uncertain significance	germline	Hereditary cancer-predisposing syndrome					Uncertain_significance
chr11:g.108099948A>G	7	0.213076	0.24901	0.23901	0.94984	0.18459	0.26377	0.2286	0.19563	0.24532	0.58613	0.33654	0.23979	0.51787	0.64894	0.61773	0.6058	0.67416	0.20391	0.50404	0.43931	0.40261	0.0872	0.25561	0.12354	0.11182	0.08975	0.28119	0.36519	0.54103	0.35634	0.16343	0.27066	0.11197	0.17295	0.18566	0.09297	0.2249	0.30943	0.34477	0.29983	8.0949	0.20925				3.18552e-05									RCV000487019	Uncertain significance	germline	not provided	RCV000571021	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000812838	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)					Uncertain_significance
chr11:g.108099953del																																														3.99198e-06										RCV000159632	Pathogenic	germline	not provided	RCV000548948	Pathogenic/Likely pathogenic	germline	Ataxia-telangiectasia syndrome (AT)	RCV000570996	Pathogenic	germline	Hereditary cancer-predisposing syndrome					
chr11:g.108099956A>T	7	4.864176	0.38293	0.37452	0.94984	0.73813	0.92143	0.34826	0.6777	0.6888	0.59176	0.72348	0.56026	0.74766	0.98675	0.61773	0.6058	0.67416	0.20391	0.49671	0.62929	0.6712	0.50342	0.6759	0.50593	0.72352	0.39268	0.71638	0.39329	0.46756	0.58595	0.94297	0.86526	0.7322	0.69102	0.26963	0.71882	0.49076	0.68238	0.7415	0.34357	8.8507	0.66016				3.18492e-05																									
chr11:g.108099960A>G		3.652723	0.07981	0.39759	0.94984	0.18943	0.65172	0.45277	0.5553	0.60952	0.58755	0.90567	0.6732	0.74766	0.98675	0.61773	0.6058	0.95156	0.92422	0.50788	0.62929	0.54418	0.28182	0.51919	0.40087	0.64187	0.42571	0.71638	0.43643	0.42489	0.75743	0.94297	0.86526	0.46206	0.4326	0.19809	0.60982	0.35103	0.43708	0.53788	0.84955	16.6406	0.55106			7.57461e-05				1.883e-05	1.647e-05					RCV000166809	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000457539	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV000482292	Uncertain significance	germline	not provided	RCV001731415	Uncertain significance	germline	not specified	Uncertain_significance
chr11:g.108099963G>A	7	4.576308	0.26597	0.37063	0.94984	0.59762	0.87839	0.34053	0.51805	0.55723	0.59314	0.93458	0.72067	0.74766	0.70848	0.61773	0.6058	0.67416	0.20391	0.4106	0.51296	0.63197	0.41749	0.66373	0.30857	0.66821	0.42208	0.71638	0.4474	0.35359	0.96525	0.15538	0.24172	0.50672	0.51475	0.2269	0.2446	0.50496	0.46129	0.51112	0.74304	15.3736	0.50958			3.98635e-06										RCV000579844	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001320507	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)									Uncertain_significance
chr11:g.108099970C>T		3.602181	0.17897	0.35058	0.94984	0.29725	0.79708	0.48992	0.35706	0.37425	0.61559	0.5112	0.23305	0.74766	0.49153	0.61773	0.6058	0.67416	0.20391	0.42251	0.31484	0.53041	0.24344	0.52379	0.18038	0.43389	0.21941	0.42656	0.66497	0.36717	0.48526	0.4025	0.3763	0.21357	0.2693	0.0886	0.65397	0.25827	0.36912	0.92824	0.27161	7.5859	0.29889			3.98486e-06				9.415e-06	8.236e-06					RCV000130300	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000466004	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)	RCV002251433	Uncertain significance	germline	not provided					Uncertain_significance
